Front,Back
nieprzychylność,disapproval [sound:sapi5js-454aa039-485307b3-e5251d9b-e14fb206-b673b80f.mp3]
"medalik<div><img src=""paste-c941dcc8ed01be6bc5f1b85a0c510d1022d6ed0f.jpg""><br></div>",locket [sound:sapi5js-bcc0d5a5-0f9818a6-54978cf5-745968db-44ae4bf7.mp3]
luźny,slack [sound:sapi5js-d86791c3-46a22a98-abbff036-4b7cfb14-b0f419dd.mp3]
szorstki<div>unpleasantly<br></div><div>cruel or severe<br></div>,harsh [sound:sapi5js-44c484f9-02cfdb9c-e566120b-9451358f-1ad6ca35.mp3]
właściciel lombardu,pawnbroker [sound:sapi5js-c8b746c8-aabc86be-042c5c53-c14331bd-be54fa1b.mp3]
"plama<div><br></div><div><img src=""image-4b0504f539dd8b1e4f1114d6dfd337fd40ac6a14.jpg""><br></div>",stain [sound:sapi5js-8eed28fa-282186a3-1b13ae2c-2d87982a-67ae7d8f.mp3]
"wyczerpujący<div><img src=""image-4fec97622384ac1127d4fb2df6e01e868a4400d7.jpg""><br></div><div><img src=""image-d1280bd73ab3c71e456d213af98e970a54578a90.jpg""><br></div><div>Galera galernik kojarzy sie z</div>",grueling [sound:sapi5js-680e2236-0069040b-eff1b505-ac3b3b20-08235333.mp3]
Pozostało,remained [sound:sapi5js-f2b14898-06dd7677-c37f2fae-c7fbf919-e73e3446.mp3]
Niegodziwej kobiety,wicked woman [sound:sapi5js-3b9f0a09-152ac178-cc5696dd-b95d8c5e-579f9f69.mp3]
"nieprzyjemny<div><img src=""image-4482ba189d83214735a63ce2e12ad95d074c3e5b.jpg""><br></div><div><img src=""image-1b516d52fa78962aa8be5171a58d1a5450fbf87b.jpg""><br></div>",disagreeable [sound:sapi5js-e7228404-38f20d33-eb590c43-d210e551-f1552acc.mp3]
"woźny sądowy// taki urzednik parafialny<div>Anglosaskie w sadzie<br><div><img src=""image-b6af7cacb03588c6bc661d15c868fb1041530f8b.jpg""><br></div></div><div>&nbsp; &nbsp;A beadle is <b>a church leader</b>. Often, a beadle serves as an usher or manages charities &nbsp;<br></div>",beadle [sound:sapi5js-426da930-9336bede-5ec5fc40-abe351c9-5c8cb387.mp3]
kanał ściekowy,sewer [sound:sapi5js-739b555c-4cbfdc07-1ad4a61f-31f9ad6a-3af8d6f8.mp3]
nudny,nauseous [sound:sapi5js-c9b0c80b-f04b736b-3387af06-b50a87cc-4a74541a.mp3]
"zerkać<div><img src=""image-80b62acdb42799724820e601883ff4d751a8911c.jpg""><br></div><div><img src=""image-f3fc24ab48c0af9af8ed387d2ba67271b5636c85.jpg""><br></div>",peek [sound:sapi5js-2fd3e393-2a0507e9-45f09bbc-256173c3-5d78c184.mp3]
"Obserwowac<br><div><img src=""image-22c11df3beb798ab79e80309990c168d604280bf.jpg""><br></div>",observe [sound:sapi5js-afa5c1a8-80067083-7ac24311-41c2d3a2-f9cc9b29.mp3]
"Drwili<div><img src=""image-35f4c50348c220e4a233d3d45ec3b574654fdd82.jpg""><br></div>",taunted [sound:sapi5js-57577e36-9edca92a-2f857b0b-e82dffdb-73e99b51.mp3]
sprzedaż,disposal [sound:sapi5js-af377368-3edf0fb3-4e8de12a-39145787-b001b652.mp3]
"Cechy<div><img src=""paste-918ad7414e181c70c4aa446ad453722b26a820f4.jpg""><br></div>",traits [sound:sapi5js-ba514fe5-8d09d2cf-df3dc1ea-cac695b5-869dca82.mp3]
zszedł,went down [sound:sapi5js-88b2f4c8-4ad38018-156b543f-8a426135-6e66d39e.mp3]
"Spłukać<div><h2>Trickle-down theory,” where the rich keep their money rather than have it taxed away, is a term created by people suspicious of free markets.</h2></div><div><img src=""image-186bc1aa79712170665b2da7217657ad0b0b8770.jpg""><br></div>",trickle down [sound:sapi5js-759d54ff-dcc398c4-fcb42ace-ded212e5-a739fd0c.mp3]
wściekły,rabid [sound:sapi5js-0725160c-7b094dad-614ffaf4-9735046b-818aca61.mp3]
Wieców,rallies [sound:sapi5js-0514965d-7217024c-5e83294b-a8791ccf-5089862d.mp3]
przewidywać,foresee [sound:sapi5js-503115fc-abfc74c8-8972564e-e2427de1-12db32ed.mp3]
Bedrocks :: English &gt; Polish,bedrocks [sound:sapi5js-d8cb88e4-d0699a4b-7a187ffd-d79b9f1a-fc246b6c.mp3]
"oczerniać<div><img src=""image-f7932e4bb41f87bdb262b3f7fd7b7749c405f6a9.jpg""><br></div><div><img src=""image-c28aae49316ef5ca212ecbfe8a9a8a018f73c255.jpg""><br></div><div><div><div>
<div>disparage</div>
<div></div>
</div></div>
<div><div>
<div>belittle</div>
<div></div>
</div></div>
<div><div>
<div>diminish</div>
<div></div>
</div></div>
<div><div><div>deprecate</div></div></div></div>",denigrate [sound:sapi5js-6dd633cf-f51981fb-e01bdd30-1d2c15af-77c45930.mp3]
wylot<div>Sklepy z okazjami</div>,outlet [sound:sapi5js-7fb09c92-e4cd6fbb-b0a4d3a9-3c77c0ed-85291bf4.mp3]
"Wyśmiewał się<div><img src=""paste-097db3485a23c2fb9903cb51e1d45f4f99faf09f.jpg""><br></div>",derided [sound:sapi5js-980386ea-597ce7ff-5473605f-9968105f-6d581938.mp3]
"Klamry kolanowe<div><img src=""image-8f42cb7f15233c67979920e65887e48bab247b39.jpg""><br></div>",knee braces [sound:sapi5js-7f6a511d-3847a553-a6ecfaa2-8b84c2fc-2b65a8ec.mp3]
Niepowodzenia<div>Overcome adversity and setbacks</div>,setbacks [sound:sapi5js-a0e4ddb7-0b9ede9c-2652055e-611fbab0-d23ae617.mp3]
"królować<div><img src=""image-279346adcce8beac820fffec41d95979b2261ff1.jpg""><br></div>",reign [sound:sapi5js-fec28984-4238a7e8-c6c03983-471d20a8-2b6695bd.mp3]
Wychowany,brought up [sound:sapi5js-a836037c-e25fda84-294240a5-be125170-7b5f17a4.mp3]
oszust,cheater [sound:sapi5js-d1c54e48-fe205ba3-a28e8095-0f9cd2a1-6d813ea9.mp3]
"Skażony<div><br></div><div>contaminate or pollute (something).</div><div>the air was tainted by fumes from the cars</div><div><img src=""image-c7e93315af5b702c3e3199a7ab43263185a2609c.jpg""><br></div><div><img src=""image-839b643bfd87393c147315c5bed4229e12b1a574.jpg""><br></div>",tainted [sound:sapi5js-cfb15f78-0898dfd7-0176ae59-9c11a060-a1615768.mp3]
Panujący,reigning [sound:sapi5js-ea4c0a4a-dd63bfc5-a8e81946-e56b26c0-514e0aca.mp3]
rozpętać,unleash [sound:sapi5js-1a89291d-e38b4f62-ad5a00c5-06eecfcd-f0f0a86c.mp3]
"odliczenie<div><img src=""image-2ece80413afbf28d1d9cf76afad3b02aa6cedae0.jpg""><br></div>",deduction [sound:sapi5js-8501e8fd-e85c237a-a7bc6dbe-3b8555ea-0678dd39.mp3]
zobowiązanie podatkowe,tax liability [sound:sapi5js-d4d0aaa5-57bd8918-f8e7ccf4-6fae406e-11c0c924.mp3]
"Mądrość porad<div><img src=""image-a24868b1c4745a78d6eecbb602315b9be7bdef5f.jpg""><br></div>",sage advice [sound:sapi5js-e73bfd35-1fdfbd01-7ee54d0d-ed87a9fb-44f58ddd.mp3]
"którego nie można wybrać<div><img src=""image-8aa48f27085083e372b2059750290f741211f51e.jpg""><br></div><div><img src=""image-85eef6b10522bd7cdcffb9432ccb5110fef8a49c.jpg""><br></div>",ineligible [sound:sapi5js-e889c406-843f7e68-d4a5dced-aaa9b88f-46a1ec18.mp3]
"leżący twarzą na dół<div>Sklonny<br><div>farmed fish are <b>prone</b> to disease<br></div><div><div>&nbsp;lying flat, especially face <a href=""https://www.google.com/search?client=safari&amp;sca_esv=3bcdb22a83598c7d&amp;channel=iphone_bm&amp;sxsrf=AHTn8zrz-2sQ7FO38_WLs-IQgWj1ICvhtg:1737663248478&amp;q=downwards&amp;si=APYL9bvtFLj-ISwFDyvbg6-m4pTqMGyz4l6ICjPGx4v2PSzZfQXRceNVjEG3O_HXAMXQXOgQYr6ODkFo5tmDpA1Nt4QUWD_CaiwZi-e-e-CVl1KBd3hj5Og%3D&amp;expnd=1&amp;sa=X&amp;ved=2ahUKEwinwaiF1IyLAxUwKBAIHe49ML8QyecJegQIIxAu&amp;biw=276&amp;bih=456&amp;dpr=3"">downwards</a>.
</div>
<div><div>""I was lying prone on a foam mattress""</div></div></div><div><img src=""image-2b49023513398c86baa75492d22c51d1d4d0e05e.jpg""><br></div></div>",prone [sound:sapi5js-f20c659d-1418db14-fd95e535-53b11129-24943960.mp3]
Eloped :: English &gt; Polish,eloped [sound:sapi5js-9df6456b-ec2a540e-c47ece07-5c117fec-e320d0d4.mp3]
bijatyka,melee [sound:sapi5js-55f56bbe-32954b85-8854fe96-cb3b8dbe-8a34f7ea.mp3]
"Przebrany<div><img src=""image-b905e7186de578bbacf6169495500de5d881c4ef.jpg""><br></div>",disguised [sound:sapi5js-2bed18f0-f71923c5-5a442761-8cb5401a-1468afef.mp3]
Porwania się po hitch-hiking,hitch-hiking hijacking [sound:sapi5js-d0e6c1c3-d264a29e-ba4dba6e-e1168f4a-f7183ef2.mp3]
pobożny,pious [sound:sapi5js-57dca4f3-27f365e7-ab8dc823-0c4fce0b-7d689bf9.mp3]
Prewencyjnie<div>Tactical&nbsp;</div>,preemptively [sound:sapi5js-fc554e99-a8f7e0fb-e505919e-1e993205-8008191c.mp3]
Przesłuchanie,interrogating [sound:sapi5js-cb8df68e-57ae5f12-a00ab127-1b73e1c2-635596e8.mp3]
biegły sądowy,expert witness [sound:sapi5js-03006448-7d3ab203-d12af06a-d7b1e9bf-53399b0f.mp3]
Konkursy,pageants [sound:sapi5js-8954b2da-01fae627-7d05adc4-b1282e90-7e228d5e.mp3]
Odzyskać,to recoup [sound:sapi5js-d8af228c-c4d61caa-f94cb71a-d33371b9-ee799c8c.mp3]
wskazany,advisable [sound:sapi5js-9872797d-227030e8-a9320f29-97334a85-24b536bb.mp3]
"zapomnienie<div><img src=""image-15868849e5a4f665d98a97e0801148468cdd6c1a.jpg""><br></div>",oblivion [sound:sapi5js-76115718-8bdec3ac-a512581a-a08e5a7f-23d26647.mp3]
"osiągalny<div><img src=""paste-07b107cdf21d54f2b758485fba36b9a6de0ae743.jpg""><br></div>",attainable [sound:sapi5js-4e366695-4202311f-8883cebc-a4e459e1-e9500fba.mp3]
"topór<div><img src=""image-cc912381487b36bcf911697be0874414d58675d7.jpg""><br></div>",hatchet [sound:sapi5js-f3fe0ec3-a784edb0-99f39035-741784c4-b6c8b4e0.mp3]
rozrywki<div>Hobbies and pastimes</div>,pastimes [sound:sapi5js-8879273a-210dbab4-ec016709-48222a72-ab7c0524.mp3]
samotny,solitary [sound:sapi5js-86b5af19-bfcb6657-945945ee-7f9ef875-57740838.mp3]
Oddał,gave off [sound:sapi5js-d633ac95-5d9d09ab-c381034a-698c566c-7741ae54.mp3]
Pośpiesznie,hurried out [sound:sapi5js-086670ae-820d91b8-f98eb088-76c36518-ccd6f5fd.mp3]
rysował drew breath,drew [sound:sapi5js-73916934-b7b977c7-a00e87f8-c24fcf3c-400b10f0.mp3]
upokorzony,humiliated [sound:sapi5js-6c267e60-6d4e1ea9-0f81dc69-6c5e8202-bd4a6c73.mp3]
przesłuchiwany,interrogated [sound:sapi5js-7e2fcbd0-1558feda-d2fa5f8f-eb6ae732-d3a4ac2a.mp3]
"uchylanie się<br>wykret, wymowka<br><div><i></i></div><div>their adroit <b>evasion</b> of almost all questions</div>",evasion [sound:sapi5js-42c75e6a-c65e4954-121b4dfe-25234d18-e0569786.mp3]
napady kaszlu,coughing fits [sound:sapi5js-be7b8df2-e647766b-a3e7bf8e-9998a181-8a13b222.mp3]
jako pokutę,as penance [sound:sapi5js-ab6ab09f-ba50a88e-51586795-11c08d51-f86648e6.mp3]
podejmuje środki,takes measures [sound:sapi5js-137fcd46-1c8f9b40-a046dbce-92ebc8e8-bc05562f.mp3]
odleżyny,bedsores [sound:sapi5js-5804224f-a09599c3-d60805f6-f264726d-34979578.mp3]
proces porównywalny odrywając warstwy cebuli (stąd nazwa),a process comparable to peeling back the layers of an onion (hence the name) [sound:sapi5js-829215ca-3188f556-b76a2bd4-108c5bec-78c751a0.mp3]
narażania jej pomoc rządową,endangering her government aid [sound:sapi5js-8d1c1251-f6487ba9-2e165d23-6d5addb9-d14d9550.mp3]
"obdarza<div><img src=""paste-56c22d053dd9b29c912a2cd73e6e49488ba67ff4.jpg""><br></div>",bestows [sound:sapi5js-755a2e6f-cff27e45-8950086b-f55e2525-88528f44.mp3]
z lojalności,out of loyalty [sound:sapi5js-d6d8437c-9a35e021-5a659ccc-7a77b552-00d6b1ba.mp3]
przerażenie,dismay [sound:sapi5js-dfc6c249-ee843a57-6eff476d-a8f401ed-923e8d11.mp3]
niestrudzenie,tirelessly [sound:sapi5js-82bcafb1-b873d5ce-f899ca81-263f8001-9a3bc3b3.mp3]
pokuta,atonement [sound:sapi5js-22f0c91c-33799196-dd979b25-42cda4ae-fbd5e3c2.mp3]
opary,fumes [sound:sapi5js-7b3341b8-afd576b4-39919f44-ac82599d-cf1ee7da.mp3]
pozostałość,residue [sound:sapi5js-117d136c-251b1524-c637a815-54e9aa57-93769dc0.mp3]
odparować,evaporate [sound:sapi5js-0eed50a0-7fc1db28-482bd587-209de427-9498da6e.mp3]
zawierają rakotwórcze,contain carcinogen [sound:sapi5js-2a2d8b3f-83af63c5-041ffd04-af38a5f1-1ee58125.mp3]
"stosowanie miejscowe<div><img src=""image-110453159a4ab578f636d52892bcb56148c2e6eb.jpg""><br></div>",topical application [sound:sapi5js-0fb16200-9d80bf29-38502da9-fd33df95-fb7bfa4b.mp3]
łykać,ingest [sound:sapi5js-fc9fc041-c0d7680b-2122d056-8ddee030-89ca552c.mp3]
czas oczekiwania,latency [sound:sapi5js-46bca55c-5a40c16b-3dbcfffa-81106887-e6d83c13.mp3]
ambitny,ambitious [sound:sapi5js-9fd09521-93039853-29e6e38c-ee974723-821996e5.mp3]
"wysyłka slbo zalatwic cos szybko<div><img src=""paste-d3a4b65214f333937dcbe32eedc8758b6ef956fd.jpg""><br></div><div><img src=""paste-51b85d3942a4f3efd323a8220a65ff2f1402d091.jpg""><br></div>",dispatch [sound:sapi5js-2f5ac2fe-939a9e57-ea00b8e5-ce677149-755a3c17.mp3]
płonęły,blazed [sound:sapi5js-c5f9a7ce-5aaf0e77-22a5a76d-a16228e6-7948d082.mp3]
smród,reek [sound:sapi5js-50a968a0-11d3c886-2055938b-7831feb8-bddba62f.mp3]
chować na potem,stash [sound:sapi5js-84252836-f999374d-c8920292-4816de7d-ec329fe9.mp3]
kości udowe,femurs [sound:sapi5js-0d7d7660-81ca49e5-6dfbabb0-50e28589-49037893.mp3]
niewykrywalne,untraceable [sound:sapi5js-288af09e-5ca79807-9e1e99b7-0112ae09-4f4b8b13.mp3]
powiązany,associated [sound:sapi5js-78782f34-83f3550d-6ed85034-524b535a-1726061f.mp3]
"nakaz<div>Sadowy</div><div><img src=""image-d2cf4c601ce60c167be6777a333a61c59346eae5.jpg""><br></div>",injunction [sound:sapi5js-090aed3d-770b7561-a00b3ac7-27b7f3ce-26d4dafe.mp3]
użyteczność,utility [sound:sapi5js-e66cd029-46259730-2fb2e9c1-1b21a388-bd601fd9.mp3]
"wykorzystuje<div>Use<br><div><img src=""image-cbb159f2a2758222086b683edde4d213b5a55259.jpg""><br></div></div>",utilizes [sound:sapi5js-5b2cca43-9cfd4220-0746ceae-ecfe4f64-8e17a5ef.mp3]
przekierowanie,redirection [sound:sapi5js-a0cba461-239e4b9c-868a0099-0d45b85c-5848c43e.mp3]
Cały,entire [sound:sapi5js-38b1197b-a592cdd0-8a6ad44f-b4baed86-c3960514.mp3]
"nudny.<div><img src=""image-e295c00b9231e8f8e8dfa4d464690b05b91b1d4f.jpg""><br></div>",tedious. [sound:sapi5js-ad924c17-cc5b5da7-157d3218-8051fb69-ff065d60.mp3]
"naćpać<div><img src=""paste-73ccba9279420a65d703857f7d97a10118d54a7e.jpg""><br></div>",get stoned [sound:sapi5js-960fc389-ace2b324-e2fe9d4d-48c209b8-beecdb10.mp3]
sznurowadło,"lace [sound:sapi5js-5be87b26-0c8a92f1-b527ee97-3ab3ec0e-1d717bb5.mp3]<div><img src=""image-d308d613c39234af286eb7842544c4578828f83b.jpg""><br></div>"
"czara<div><img src=""image-165767030c93b5bdca559ee6c008ff3d9eae87b5.jpg""><br></div>",goblet [sound:sapi5js-d17581da-e6bb7d53-490d0293-bb436bb4-e5af430a.mp3]
ciernie,thorns [sound:sapi5js-c3a8865b-7f7cf2eb-fc54fddd-ab8a17d9-c83c601f.mp3]
szelest,rustle [sound:sapi5js-496e80d3-5986e344-f5f6d69d-bc12890e-86fe2475.mp3]
pożarty,devoured [sound:sapi5js-70ed47bb-c9d27174-33ad5f2f-be185c1a-dfa56c58.mp3]
najpiękniejsza,fairest [sound:sapi5js-1bf667fd-c43fb8de-bb86682b-6bfe9022-3c77ce97.mp3]
"wyniosły<div><img src=""image-6e46d92445678133ee668d1ad234abc49eb7f279.jpg""><br></div>",haughty [sound:sapi5js-1ff6eb6d-e87fea7c-9a5cef79-ce68f4f2-dafcfdcf.mp3]
różany,rosy [sound:sapi5js-35701dab-0a68f7e6-fbf305c3-a9e436b9-312692a0.mp3]
kulisty,spherical [sound:sapi5js-3763cfe1-b288d363-ca5634a8-b9ca188a-d61cf77e.mp3]
żółtaczka,jaundice [sound:sapi5js-e7658c6b-945740f6-57dc049d-7a51be97-b3f18fd4.mp3]
ostre zapalenie wątroby,acute hepatitis [sound:sapi5js-68a64f15-bfc36591-8e105d2d-64e361fe-b00a325d.mp3]
"przećwiczone<div>Practice z learningiem</div><div><img src=""image-7ba85364fd8c698995fbd6b125d9db00a511599d.jpg""><br></div><div><br></div>",rehearsed [sound:sapi5js-cf24a834-bb3258ff-b7de1525-49fb65f8-e3a6a6bf.mp3]
wspomnienie,flashback [sound:sapi5js-8ff3d7d4-316581ac-45476625-e429abf0-2d187dba.mp3]
apodyktyczny,overbearing [sound:sapi5js-d8f87894-4cfa8de4-bf627d46-b8c6bb20-a4a9fac2.mp3]
"niejasny<div><img src=""image-22559f54068e1181ec74753302c6b3babda1166e.jpg""><br></div>",vague [sound:sapi5js-98a67a47-0f646d55-2da2f8b4-6ebd8324-25ae6ae1.mp3]
pozbyć się dzięki pracy,work off [sound:sapi5js-b65e26f5-9fdc76e7-1bb9da41-b9e91c47-73c363a6.mp3]
podsłuchał,overheard [sound:sapi5js-c7120462-f67f4d20-3c812f9a-553494e3-75020922.mp3]
zazdrościli,envied [sound:sapi5js-3cee64f0-df4ef46d-7ac79c54-39d5f5b3-f0b223ad.mp3]
był paraliżujący,it was numbing [sound:sapi5js-4cbc7698-828b709b-a97db72a-11b96e9f-d50e73aa.mp3]
świadectwo,testimony [sound:sapi5js-35961cad-80db3bff-93d9a86c-ee8bc09e-8637d316.mp3]
"zgarnął<div><img src=""image-2b9795e54f229751911903ca35d4e3c114969ee0.jpg""><br></div><div><img src=""image-2fbf6b249471b1521bb58facb948318ff484183f.jpg""><br></div>",racked up [sound:sapi5js-e4096192-a190df15-a41f3397-6e12b377-53b5e329.mp3]
z wewnątrz,from within [sound:sapi5js-0a4a72af-e1319b06-b6797ad0-103a188d-3a2b5d0b.mp3]
"rozjarzony<div><img src=""paste-d7049c4347d9c97e5399a65f51ce23713a18d07e.jpg""><br></div><div>Grovel czgac sie</div>",glowing [sound:sapi5js-6c4059bd-751b7c40-5a0dbb98-95420094-2c0fccc5.mp3]
zniszczonym,ravaged [sound:sapi5js-02e870d4-a2af41da-0eb80211-eb71169f-2f483896.mp3]
szybko i często się denerwować,short fuse [sound:sapi5js-536ffb64-55272f7a-384711f3-fff84972-61b94e6f.mp3]
improwizowac<div>Do without planning&nbsp;</div><div>I skrzydelka haha</div>,wing it [sound:sapi5js-4e6f156c-12544213-6de30d74-95e94179-3fb794ec.mp3]
znajdować się w sytuacji,wind upwound up doing right things [sound:sapi5js-9a36d341-31440329-91a3066b-3efe5f55-09436872.mp3]
"Nakrecana zabawka<div><img src=""image-5d85c072ace27f7aa9a74fe1d92c9e69aadbf9a9.jpg""><br></div>",wind up [sound:sapi5js-a766e19b-42b04ba6-63b65014-aaf09fd5-c3fa9f68.mp3]
"obciążenie<div><div><div>
<div>load</div>
<div></div>
</div></div>
<div><div>
<div>weight</div>
<div></div>
</div></div>
<div><div>
<div>charge</div>
<div></div>
</div></div>
<div>
<div><div></div></div>
<br>
</div></div>",burden [sound:sapi5js-b74e87a9-4696705b-b8cb36e0-c9a0f2ed-269ff17b.mp3]
wyjście,way out [sound:sapi5js-8f4b77e7-c0fa0489-668c1c1a-999f0172-db848b23.mp3]
"połączenie a connection to a public electric, water, or sewer line<div><div></div></div>",hookup [sound:sapi5js-0afbcf79-b90387f7-f34c872b-0c4b5b3a-7367d801.mp3]
"wywiązać się z niego<div><img src=""image-a023951da1d51b6899ffa28fe3f218553e9e5c76.jpg""><br></div><div><img src=""image-f07471e0c0e31322ecc49d8cc2b57f6433052388.jpg""><br></div>",live up to it [sound:sapi5js-75ba2414-c3ed44a5-790d5fc3-168ad8eb-ceceafef.mp3]
wir,whirlpool [sound:sapi5js-661c7170-871fa78a-66a9b183-16a6fb1e-5141d846.mp3]
Zamiata,is sweeping [sound:sapi5js-4c0e3099-b2ee6dd7-5847b4cc-b408c387-90f52ce3.mp3]
to trwało,it lasted [sound:sapi5js-5e9879d9-29056063-9def0d63-11424adc-02d491f0.mp3]
Brzdąc,toddler [sound:sapi5js-db752fd6-68382a5f-dd1f8c6b-4b6378c8-09385e8b.mp3]
"jeleń<div><img src=""image-bbc577b9777ce74fbbc68ee56ff108d226200684.jpg""><br></div>",stag [sound:sapi5js-440bd115-fb68f997-e5fb17f3-81a3c5f0-e604e804.mp3]
szczególny,peculiar [sound:sapi5js-accb78ef-150be307-580df059-ce415fe8-7ac75bf7.mp3]
ma co najmniej,has at least [sound:sapi5js-b2ae143f-ad0e25f2-672663eb-919e9c1f-ee6971e1.mp3]
zapalenie opon mózgowych,meningitis [sound:sapi5js-419e15bb-ca634c43-2b7044fe-2f444e3b-1beb4a4e.mp3]
zarazki,germs [sound:sapi5js-5dda7392-daf3f4dd-109449a8-024769cb-c314ded7.mp3]
brzydki,unsightly [sound:sapi5js-45b0db66-284cd92f-8e799e0e-a97663a3-49424cb6.mp3]
przeszkoda,obstacle [sound:sapi5js-093b2b08-2b066905-2c96b159-a101859e-5f913f78.mp3]
"lewatywa<div><img src=""paste-a9c3883a4cdd9bc5849eb6b920b98dd6f48d5b14.jpg""><br></div>",enema [sound:sapi5js-e56fc340-ca5193dd-34060a5d-d82eb600-8f0fbf6c.mp3]
gra wstępna,foreplay [sound:sapi5js-1d42e8ef-dfe7ba04-75db7563-6f4b860a-8587b795.mp3]
wepchnięcie,thrusting [sound:sapi5js-01ab48be-65fa3c95-adcb5664-fcc51d2f-4b1a8fb9.mp3]
"zgodzić się<div><img src=""paste-d96246ff25dc78d10635d8426627b88228db5ff0.jpg""><br></div>",acquiesce [sound:sapi5js-2a7c1a0a-d8fdb936-7bceb6c9-ed2be371-f12d68c4.mp3]
niepokojenie,harassing [sound:sapi5js-72f31f85-41736b38-75139989-4c2d2545-d19b7c51.mp3]
liczyć się z,reckon with [sound:sapi5js-87ffbc42-bd83e47e-d5af830e-cada6717-9942ecd8.mp3]
kurtuazja,courtesy [sound:sapi5js-683b29be-be34c657-04963737-cb2164c9-69d661ec.mp3]
niechętny.,reluctant. [sound:sapi5js-b3352f28-88e43ae2-59f2e784-2fce2a22-8e956f2a.mp3]
depresja poporodowa,postnatal depression [sound:sapi5js-f7f3c02a-a3e3ca9b-d697bf75-2b187381-14e46824.mp3]
ludzie zajmuja sie jej sprawa,people get on her case [sound:sapi5js-7ffad6a2-79ae76cf-84a76d19-7fe2a58d-86c29084.mp3]
"złośliwy<div><br></div><div>Vicious circle</div><div>Bledne kolo</div><div><br><div><img src=""image-a5cb9201d9abda295ee3b30c93bea921c07887c5.jpg""><br></div><div><img src=""image-fbfbd4e6a85af2e5f01eb26b3a200953b8f6c8c6.jpg""><br></div><div><img src=""image-b148629cb89c74812b3a04236463785b21ebf3cd.jpg""><br></div></div>",vicious [sound:sapi5js-1e6d86d9-38a567a8-4c2a35e5-e58f3c9d-0486b838.mp3]
skromny,modest [sound:sapi5js-92bfd1b2-d2e5becf-8269898c-58f0fa07-20ac1f11.mp3]
poparcie,endorsement [sound:sapi5js-afb99995-3c52c2dc-9c6f46a6-8a45d8ab-fe6f5721.mp3]
I&#x27;ll compensate,i will make up to you [sound:sapi5js-f21082e2-7e609904-a516d580-f6802afb-ad5cc39a.mp3]
zaniedbanie,negligence [sound:sapi5js-87d8df16-d5bafdda-cbb589d6-ac1782b1-03af6a4f.mp3]
trumna,coffin [sound:sapi5js-32712c0b-ef4c04d5-ca1ce930-2f0fad9e-f334e9d5.mp3]
zadłużenie,outstanding debt [sound:sapi5js-f4351d78-e7d0def8-010e766a-8bce4fd4-2f8cf845.mp3]
bedziemy kwita,we will call and quits [sound:sapi5js-7b18aff9-402309ee-36dd438e-69539cec-a4dafcd9.mp3]
miec spokoj,rain off our heads [sound:sapi5js-c3fe9eb8-6408ee46-9b2cab16-887a2bcb-930c7839.mp3]
Nie chcę by mnie wycyckali przy ustalaniu ceny.,I don&#x27;t want to have me pants pulled down over the price [sound:sapi5js-e568c59f-0bec7314-9c48e453-b43a43d5-5ba6d451.mp3]
łaskotanie,tickling [sound:sapi5js-4494d715-7d9c2b39-81b0739a-b36069ea-9c9666d9.mp3]
"ujrzeć<div><b>See</b><br><div><img src=""image-2a386a2ed88e475840595f469fe3e08e88a3b65f.jpg""><br></div><div><img src=""image-f7b7282f01b00faa8c0a0a201609dc1f20faacd5.jpg""><br></div></div>",behold [sound:sapi5js-4a99a7eb-8f8d2907-1c3245c7-36f5884b-4b2bf6b0.mp3]
pojąć,conceive [sound:sapi5js-93bc9d87-3a6a165b-c7ed42b8-15d60ffc-a59301fb.mp3]
przynajmniej,at the very least [sound:sapi5js-6bbd13ac-c9a0f223-ec3a9122-98e9359d-a709b517.mp3]
utorować,to pave [sound:sapi5js-06defbc7-27abb203-4fe782f5-42be80f3-b5d55867.mp3]
"zwrot<div><br></div><div><img src=""paste-2e7d9e35834abbed4acfe04e727adb4502a99e12.jpg""><br></div>",reimbursed [sound:sapi5js-444beae0-05b67bbf-b21587b4-3f665c6f-ed336a0b.mp3]
zajętych,seized [sound:sapi5js-a1f136a8-6ba47753-3940ffc5-0f56fa2a-be27c12c.mp3]
"ciekawy<div><img src=""image-3a9207ce31fce1732a460cfe417fedc228ff549c.jpg""><br></div>",inquisitive [sound:sapi5js-7a46b96b-a32da4db-9ec74605-dfd56199-93ba5750.mp3]
"rozczochrany<div><img src=""image-4819e3a0b201b5650b30bc7c56df0354519df2ff.jpg""><br></div>",dishevelled [sound:sapi5js-6092b7b4-aafd0e8d-7548ea2e-93694970-18653448.mp3]
smukły,slender [sound:sapi5js-be2057ee-92152616-2ed405bd-9cfb1b2e-4a75b432.mp3]
"stanowczo<div><img src=""paste-c2988edde0f648889ff42882cf8c1049954ddd07.jpg""><br></div>",vehemently [sound:sapi5js-ac4710a6-ef692bf3-d853878c-0d3d532f-4df2716a.mp3]
zaaranżowana,orchestrated [sound:sapi5js-d5611abe-913b9938-9826bcc2-d937aebe-2557ff2f.mp3]
zwabić,to lure [sound:sapi5js-8fdab60b-f10e186c-59f5798b-48952e19-4a775864.mp3]
plaga,plague [sound:sapi5js-0c4c312a-762a056f-acddd1fc-4ded72cb-db4e0566.mp3]
odmowa,denial [sound:sapi5js-17e07507-b7c8bfc1-7422b617-c6f7ebef-1f606933.mp3]
nieżywo urodzony,stillborn [sound:sapi5js-46eee55d-fe0266ed-37cdacd3-0203bd7a-ee1df34a.mp3]
